experiment_id,task,classifier,fusion,accuracy,balanced_acc,f1,roc_auc
glcm_narrow_svm,cn_vs_ad,svm,narrow,0.6432951945080092,0.6012767886974368,0.47306050189297616,0.6473716449493262
glcm_narrow_svm,cn_vs_emci,svm,narrow,0.5984464707868964,0.5237595243474154,0.7216310419478306,0.5402205746441847
glcm_narrow_svm,cn_vs_lmci,svm,narrow,0.4813663781799109,0.5178452860596293,0.5318664091022397,0.4659167338168144
glcm_narrow_svm,four_class,svm,narrow,0.2994509405185562,0.29999383087952725,0.22329309376443832,0.5672012871963836
glcm_original_svm,cn_vs_ad,svm,original,0.6432951945080092,0.5950360364660398,0.45572553844279673,0.6434108157128537
glcm_original_svm,cn_vs_emci,svm,original,0.6175391196667792,0.5358046661600706,0.7416150554602952,0.5506295824690395
glcm_original_svm,cn_vs_lmci,svm,original,0.4602543928665093,0.5212656459844212,0.5631602388034062,0.4628751007252216
glcm_original_svm,four_class,svm,original,0.3179842399593289,0.3030769408209052,0.22560619574827792,0.5656652372170466
glcm_wide_svm,cn_vs_ad,svm,wide,0.6398169336384439,0.5933654718151877,0.4566899560387932,0.6495139452372997
glcm_wide_svm,cn_vs_emci,svm,wide,0.6397894855341664,0.5585082458770615,0.7573295924434937,0.5775405105666345
glcm_wide_svm,cn_vs_lmci,svm,wide,0.46349331235247837,0.5264867042707494,0.5694285999796633,0.48418157399946277
glcm_wide_svm,four_class,svm,wide,0.3386426029486528,0.31759474170982915,0.25267337106305704,0.5895968795564407
glcm_feature_svm,cn_vs_ad,svm,feature,0.6432951945080092,0.5960471258332936,0.45853122588006306,0.649996022465117
glcm_feature_svm,cn_vs_emci,svm,feature,0.6291962174940898,0.5468257994290526,0.7504685417000589,0.5591523074079399
glcm_feature_svm,cn_vs_lmci,svm,feature,0.45701547338054027,0.5173048616706957,0.5592123405710918,0.4653601933924255
glcm_feature_svm,four_class,svm,feature,0.31799186578546007,0.3025154715555378,0.2241563968699892,0.5736566562963759
glcm_decision_svm,cn_vs_ad,svm,decision,0.6677345537757438,0.5859855535933051,0.38639775617704303,0.6463032790797575
glcm_decision_svm,cn_vs_emci,svm,decision,0.6313520207137229,0.5313748947444086,0.7639105961286518,0.5627645766158017
glcm_decision_svm,cn_vs_lmci,svm,decision,0.5915814319433517,0.5,0.0,0.4675820574805264
glcm_decision_svm,four_class,svm,decision,0.4312175902389425,0.30642250303419727,0.23190575732741997,0.5769880032396385
